acc,superkingdom,phylum
BAA83993.1,NA,NA
BAA83993.1,NA,NA
AAN07012.1,NA,NA
CAE11250.1,NA,NA
AAO62587.1,NA,NA
AAO62587.1,NA,NA
YP_702283.1,NA,NA
YP_702283.1,NA,NA
ERG36783.1,NA,NA
AAC44128.1,NA,NA
AAK81825.1,NA,NA
CAD92849.1,NA,NA
CAD92849.1,NA,NA
CAD28788.1,NA,NA
CAD29795.1,NA,NA
CAE52342.1,NA,NA
AAA27636.1,NA,NA
AAN85530.1,NA,NA
BAB12213.1,NA,NA
AAG31128.1,NA,NA
AAO62585.1,NA,NA
AHF20582.1,NA,NA
AHF20582.1,NA,NA
AHF20584.1,NA,NA
AHF20584.1,NA,NA
AHF20585.1,NA,NA
AHF20584.1,NA,NA
AAF86395.1,NA,NA
AAC68816.1,NA,NA
AAC82549.1,NA,NA
ADL64235.1,NA,NA
ADL64235.1,NA,NA
CAG29031.1,NA,NA
CAG29031.1,NA,NA
AAT12283.1,NA,NA
AAT12283.1,NA,NA
AAD50521.1,NA,NA
AAB39900.1,NA,NA
CAA11795.1,NA,NA
CAA11795.1,NA,NA
CAA11795.1,NA,NA
CAA09819.1,NA,NA
CAA09819.1,NA,NA
CAB53322.1,NA,NA
CAB53322.1,NA,NA
AAK81827.1,NA,NA
AAN42148.1,NA,NA
AAC83656.1,NA,NA
AAF62881.1,NA,NA
CAA11794.1,NA,NA
CAA11794.1,NA,NA
CAA11794.1,NA,NA
CAC48369.1,NA,NA
CAD70194.1,NA,NA
CAA33158.1,NA,NA
AAO69874.1,NA,NA
XP_001220460.1,NA,NA
KFH48607.1,NA,NA
KFH48607.1,NA,NA
KFH48607.1,NA,NA
AAF17280.1,NA,NA
AAF17280.1,NA,NA
AAF17280.1,NA,NA
CAC01606.1,NA,NA
AAL82383.1,NA,NA
AAN32981.1,NA,NA
AAN32981.1,NA,NA
AAO55666.1,NA,NA
AAO55666.1,NA,NA
BAC67534.2,NA,NA
BAC67534.2,NA,NA
XP_001212648.1,NA,NA
BAA00406.1,NA,NA
AAZ23078.1,NA,NA
CAA11962.1,NA,NA
AAD04759.1,NA,NA
AAG02359.1,NA,NA
AAG02359.1,NA,NA
CAA79245.2,NA,NA
CAA79245.2,NA,NA
CAD70195.1,NA,NA
CAD29797.1,NA,NA
CAD29797.1,NA,NA
AAV97877.1,NA,NA
AAG00566.1,NA,NA
AAW03326.1,NA,NA
CAA60461.1,NA,NA
AAG31130.1,NA,NA
AAM80539.1,NA,NA
AAM80539.1,NA,NA
AAP92505.1,NA,NA
AAA34747.1,NA,NA
AAC83657.1,NA,NA
CFJ82030.1,NA,NA
AAC82549.1,NA,NA
EJK79842.1,NA,NA
AAK76230.1,NA,NA
AFZ61501.1,NA,NA
AFZ61501.1,NA,NA
AIG79240.1,NA,NA
AIG79241.1,NA,NA
AIG79241.1,NA,NA
AIG79241.1,NA,NA
AIG79243.1,NA,NA
AIG79243.1,NA,NA
BAH22763.1,NA,NA
CAA84364.1,NA,NA
AIT38302.1,NA,NA
AAF19811.1,NA,NA
chaP_not_in_genbank,NA,NA
